,gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier
144,UAL1479.EWR.BOS.230221.0300.0041.TFM,KEWR,KBOS,2023-02-22 04:57:00,2023-02-22 04:13:00,UAL
145,UAL2135.EWR.DFW.230221.0000.0100.TFM,KEWR,KDFW,2023-02-22 04:25:00,2023-02-22 04:06:00,UAL
146,UAL215.LAX.SFO.230221.0015.0139.TFM,KLAX,KSFO,2023-02-22 01:28:00,2023-02-22 01:45:00,UAL
147,UAL2464.LAX.SFO.230221.0300.0066.TFM,KLAX,KSFO,2023-02-22 04:26:00,2023-02-22 04:31:00,UAL
148,UAL769.IAD.EWR.230221.0320.0020.TFM,KIAD,KEWR,2023-02-22 04:18:00,2023-02-22 04:43:00,UAL
149,UAL1082.SFO.LAX.230221.0030.0224.TFM,KSFO,KLAX,2023-02-22 02:18:00,2023-02-22 01:59:00,UAL
150,UAL2127.ATL.EWR.230220.2345.0176.TFM,KATL,KEWR,2023-02-22 02:20:00,2023-02-22 01:56:00,UAL
151,UAL2634.ATL.IAD.230221.0020.0038.TFM,KATL,KIAD,2023-02-22 02:20:00,2023-02-22 02:08:00,UAL
152,UAL2201.EWR.IAD.230220.2355.0113.TFM,KEWR,KIAD,2023-02-22 01:11:00,2023-02-22 01:17:00,UAL
153,UAL454.EWR.ATL.230221.0120.0085.TFM,KEWR,KATL,2023-02-22 03:59:00,2023-02-22 03:48:00,UAL
154,UAL2626.SFO.IAD.230221.0050.0165.TFM,KSFO,KIAD,2023-02-22 05:17:00,2023-02-22 05:32:00,UAL
155,UAL1020.IAD.EWR.230220.2215.0190.TFM,KIAD,KEWR,2023-02-22 01:05:00,2023-02-21 23:30:00,UAL
156,UAL2396.BOS.EWR.230221.0030.0246.TFM,KBOS,KEWR,2023-02-22 02:43:00,2023-02-22 01:56:00,UAL
157,UAL2136.BOS.IAD.230221.0035.0112.TFM,KBOS,KIAD,2023-02-22 02:25:00,2023-02-22 02:20:00,UAL
158,UAL1700.LAX.EWR.230221.0030.0225.TFM,KLAX,KEWR,2023-02-22 05:01:00,2023-02-22 05:39:00,UAL
159,UAL1697.ATL.EWR.230221.0130.0098.TFM,KATL,KEWR,2023-02-22 03:25:00,2023-02-22 03:45:00,UAL
160,UAL1061.SEA.SFO.230221.0345.0073.TFM,KSEA,KSFO,2023-02-22 05:56:00,2023-02-22 05:55:00,UAL
161,UAL1200.SFO.LAX.230221.0300.0085.TFM,KSFO,KLAX,2023-02-22 04:20:00,2023-02-22 04:35:00,UAL
162,UAL1826.EWR.LAX.230220.2330.0208.TFM,KEWR,KLAX,2023-02-22 06:23:00,2023-02-22 05:34:00,UAL
163,UAL513.BOS.EWR.230220.2325.0031.TFM,KBOS,KEWR,2023-02-22 02:06:00,2023-02-22 00:58:00,UAL
164,UAL2081.EWR.SEA.230221.0000.0103.TFM,KEWR,KSEA,2023-02-22 07:54:00,2023-02-22 06:19:00,UAL
165,UAL1402.EWR.BOS.230221.0045.0123.TFM,KEWR,KBOS,2023-02-22 01:56:00,2023-02-22 01:59:00,UAL
166,UAL2494.EWR.IAD.230221.0050.0155.TFM,KEWR,KIAD,2023-02-22 03:11:00,2023-02-22 02:15:00,UAL
167,UAL211.ATL.SFO.230221.0035.0138.TFM,KATL,KSFO,2023-02-22 06:05:00,2023-02-22 06:00:00,UAL
168,UAL1157.BOS.IAD.230221.1445.0081.TFM,KBOS,KIAD,2023-02-22 16:15:00,2023-02-22 16:27:00,UAL
169,UAL1896.SEA.SFO.230221.2115.0129.TFM,KSEA,KSFO,2023-02-22 23:36:00,2023-02-22 23:26:00,UAL
170,UAL1187.BOS.SFO.230221.2040.0092.TFM,KBOS,KSFO,2023-02-23 03:43:00,2023-02-23 03:13:00,UAL
171,UAL2170.EWR.DFW.230221.1145.0082.TFM,KEWR,KDFW,2023-02-22 16:13:00,2023-02-22 15:48:00,UAL
172,UAL487.SFO.IAD.230221.1900.0215.TFM,KSFO,KIAD,2023-02-22 23:37:00,2023-02-22 23:57:00,UAL
173,UAL566.BOS.EWR.230221.0130.0084.TFM,KBOS,KEWR,2023-02-22 03:05:00,2023-02-22 02:59:00,UAL
174,UAL606.EWR.BOS.230221.1330.0229.TFM,KEWR,KBOS,2023-02-22 14:26:00,2023-02-22 14:41:00,UAL
175,UAL1225.SFO.EWR.230221.1915.0101.TFM,KSFO,KEWR,2023-02-23 00:28:00,2023-02-23 00:30:00,UAL
176,UAL667.IAD.LAX.230221.1340.0075.TFM,KIAD,KLAX,2023-02-22 19:23:00,2023-02-22 19:14:00,UAL
177,UAL1428.SFO.EWR.230221.2235.0066.TFM,KSFO,KEWR,2023-02-23 03:27:00,2023-02-23 03:45:00,UAL
178,UAL1954.SFO.DCA.230221.1655.0137.TFM,KSFO,KDCA,2023-02-22 21:36:00,2023-02-22 21:57:00,UAL
179,UAL2494.EWR.IAD.230222.0050.0150.TFM,KEWR,KIAD,2023-02-23 02:07:00,2023-02-23 02:15:00,UAL
180,UAL1742.IAD.SFO.230221.1740.0114.TFM,KIAD,KSFO,2023-02-22 23:40:00,2023-02-22 23:21:00,UAL
181,UAL1738.IAD.LAX.230221.0300.0069.TFM,KIAD,KLAX,2023-02-22 08:44:00,2023-02-22 08:46:00,UAL
182,UAL1228.EWR.IAD.230221.1115.0086.TFM,KEWR,KIAD,2023-02-22 12:15:00,2023-02-22 12:34:00,UAL
183,UAL2245.EWR.SEA.230221.1145.0074.TFM,KEWR,KSEA,2023-02-22 18:42:00,2023-02-22 17:54:00,UAL
184,UAL2652.SFO.BOS.230221.2120.0105.TFM,KSFO,KBOS,2023-02-23 03:24:00,2023-02-23 02:53:00,UAL
185,UAL2032.SFO.IAD.230221.1625.0135.TFM,KSFO,KIAD,2023-02-22 21:04:00,2023-02-22 21:10:00,UAL
186,UAL277.IAD.SFO.230221.1115.0019.TFM,KIAD,KSFO,2023-02-22 16:55:00,2023-02-22 17:00:00,UAL
187,UAL283.BWI.SFO.230221.1125.0021.TFM,KBWI,KSFO,2023-02-22 18:04:00,2023-02-22 17:37:00,UAL
188,UAL433.BOS.SFO.230221.1100.0236.TFM,KBOS,KSFO,2023-02-22 18:01:00,2023-02-22 17:45:00,UAL
189,UAL1689.LAX.EWR.230221.1815.0143.TFM,KLAX,KEWR,2023-02-22 23:09:00,2023-02-22 23:33:00,UAL
190,UAL2376.EWR.SFO.230221.1715.0088.TFM,KEWR,KSFO,2023-02-22 23:27:00,2023-02-22 23:30:00,UAL
191,UAL2395.LAX.EWR.230221.0505.0023.TFM,KLAX,KEWR,2023-02-22 09:22:00,2023-02-22 10:00:00,UAL
192,UAL1770.SFO.EWR.230221.2115.0120.TFM,KSFO,KEWR,2023-02-23 02:31:00,2023-02-23 02:26:00,UAL
193,UAL2025.SFO.SEA.230221.2055.0115.TFM,KSFO,KSEA,2023-02-22 23:47:00,2023-02-22 23:07:00,UAL
194,UAL674.EWR.BOS.230221.2330.0069.TFM,KEWR,KBOS,2023-02-23 01:18:00,2023-02-23 00:45:00,UAL
195,UAL326.IAD.SEA.230221.2245.0086.TFM,KIAD,KSEA,2023-02-23 04:25:00,2023-02-23 04:42:00,UAL
196,UAL1561.SFO.PDX.230222.0055.0077.TFM,KSFO,KSFO,2023-02-23 03:51:00,2023-02-23 02:41:00,UAL
197,UAL2667.SFO.IAD.230221.2105.0164.TFM,KSFO,KIAD,2023-02-23 02:33:00,2023-02-23 01:49:00,UAL
198,UAL1442.SFO.EWR.230221.1630.0046.TFM,KSFO,KEWR,2023-02-22 21:44:00,2023-02-22 21:47:00,UAL
